path,alfaLeafAir,L,sigma,epsCan,epsSky,etaGlobNir,etaGlobPar,etaMgPpm,etaRoofThr,rhoAir0,rhoCanPar,rhoCanNir,rhoSteel,rhoWater,gamma,omega,capLeaf,cEvap1,cEvap2,cEvap3Day,cEvap3Night,cEvap4Day,cEvap4Night,cPAir,cPSteel,cPWater,g,hSo1,hSo2,hSo3,hSo4,hSo5,k1Par,k2Par,kNir,kFir,mAir,hSoOut,mWater,R,rCanSp,rB,rSMin,sRs,etaGlobAir,psi,aFlr,aCov,hAir,hGh,cHecIn,cHecOut1,cHecOut2,cHecOut3,hElevation,aRoof,hVent,etaInsScr,aSide,cDgh,cLeakage,cWgh,hSideRoof,epsRfFir,rhoRf,rhoRfNir,rhoRfPar,rhoRfFir,tauRfNir,tauRfPar,tauRfFir,lambdaRf,cPRf,hRf,epsShScrPerFir,rhoShScrPer,rhoShScrPerNir,rhoShScrPerPar,rhoShScrPerFir,tauShScrPerNir,tauShScrPerPar,tauShScrPerFir,lambdaShScrPer,cPShScrPer,hShScrPer,rhoShScrNir,rhoShScrPar,rhoShScrFir,tauShScrNir,tauShScrPar,tauShScrFir,etaShScrCd,etaShScrCw,kShScr,epsThScrFir,rhoThScr,rhoThScrNir,rhoThScrPar,rhoThScrFir,tauThScrNir,tauThScrPar,tauThScrFir,cPThScr,hThScr,kThScr,epsBlScrFir,rhoBlScr,rhoBlScrNir,rhoBlScrPar,tauBlScrNir,tauBlScrPar,tauBlScrFir,cPBlScr,hBlScr,kBlScr,epsFlr,rhoFlr,rhoFlrNir,rhoFlrPar,lambdaFlr,cPFlr,hFlr,rhoCpSo,lambdaSo,epsPipe,phiPipeE,phiPipeI,lPipe,pBoil,phiExtCo2,capPipe,rhoAir,capAir,capFlr,capSo1,capSo2,capSo3,capSo4,capSo5,capThScr,capTop,capBlScr,capCo2Air,capCo2Top,aPipe,fCanFlr,pressure,globJtoUmol,j25LeafMax,cGamma,etaCo2AirStom,eJ,t25k,S,H,theta,alpha,mCh2o,mCo2,parJtoUmolSun,laiMax,sla,rgr,cLeafMax,cFruitMax,cFruitG,cLeafG,cStemG,cRgr,q10m,cFruitM,cLeafM,cStemM,rgFruit,rgLeaf,rgStem,cBufMax,cBufMin,tCan24Max,tCan24Min,tCanMax,tCanMin,tEndSum,rhMax,dayThresh,tSpDay,tSpNight,tHeatBand,tVentOff,tScreenOn,thScrSpDay,thScrSpNight,thScrPband,co2SpDay,co2Band,heatDeadZone,ventHeatPband,ventColdPband,ventRhPband,thScrRh,thScrRhPband,thScrDeadZone,lampsOn,lampsOff,dayLampStart,dayLampStop,lampsOffSun,lampRadSumLimit,lampExtraHeat,blScrExtraRh,useBlScr,mechCoolPband,mechDehumidPband,heatBufPband,mechCoolDeadZone,epsGroPipe,lGroPipe,phiGroPipeE,phiGroPipeI,aGroPipe,pBoilGro,capGroPipe,thetaLampMax,heatCorrection,etaLampPar,etaLampNir,tauLampPar,rhoLampPar,tauLampNir,rhoLampNir,tauLampFir,aLamp,epsLampTop,epsLampBottom,capLamp,cHecLampAir,etaLampCool,zetaLampPar,vIntLampPos,fIntLampDown,capIntLamp,etaIntLampPar,etaIntLampNir,aIntLamp,epsIntLamp,thetaIntLampMax,zetaIntLampPar,cHecIntLampAir,tauIntLampFir,k1IntPar,k2IntPar,kIntNir,kIntFir,cLeakTop,minWind
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/ppfd100/cal_led_ppfd100.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,1084.0,4676,1.3,1,0,0.75,0.0001,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.004,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.3616236731749194,8578.229141001993,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,823.7823222708269,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,87405.01342892184,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,33.333333333333336,0,0.5545286506469501,0.02,0.99,0,0.99,0,0.99,0.01,0.88,0.88,5,1.15,0,5.41,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/ppfd100/ams_led_ppfd100.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,-2.0,4676,1.3,1,0,0.75,0.0001,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.004,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.1997202769432704,7558.237744742603,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,725.8307675506791,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,101352.2452363407,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,33.333333333333336,0,0.5545286506469501,0.02,0.99,0,0.99,0,0.99,0.01,0.88,0.88,5,1.15,0,5.41,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/lowInsulation/che_led_lowInsulation.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,506.1,4676,1.3,1,0,0.75,0.0002,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.002,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.272921983833991,8019.408498154142,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,770.117800219565,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,94618.58289522679,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,66.66666666666667,0,0.5545286506469501,0.02,0.98,0,0.98,0,0.98,0.02,0.88,0.88,10,2.3,0,5.41,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/lowInsulation/che_hps_lowInsulation.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,506.1,4676,1.3,1,0,0.75,0.0002,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.002,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.272921983833991,8019.408498154142,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,770.117800219565,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,94618.58289522679,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,111.11111111111111,0,0.36734693877551017,0.22,0.98,0,0.98,0,0.98,0.02,0.1,0.9,100,0.09,0,4.9,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/lowInsulation/ams_led_lowInsulation.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,-2.0,4676,1.3,1,0,0.75,0.0002,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.002,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.1997202769432704,7558.237744742603,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,725.8307675506791,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,101352.2452363407,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,66.66666666666667,0,0.5545286506469501,0.02,0.98,0,0.98,0,0.98,0.02,0.88,0.88,10,2.3,0,5.41,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/lowInsulation/cal_hps_lowInsulation.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,1084.0,4676,1.3,1,0,0.75,0.0002,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.002,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.3616236731749194,8578.229141001993,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,823.7823222708269,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,87405.01342892184,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,111.11111111111111,0,0.36734693877551017,0.22,0.98,0,0.98,0,0.98,0.02,0.1,0.9,100,0.09,0,4.9,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/lowInsulation/cal_led_lowInsulation.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,1084.0,4676,1.3,1,0,0.75,0.0002,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.002,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.3616236731749194,8578.229141001993,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,823.7823222708269,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,87405.01342892184,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,66.66666666666667,0,0.5545286506469501,0.02,0.98,0,0.98,0,0.98,0.02,0.88,0.88,10,2.3,0,5.41,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/lowInsulation/ams_hps_lowInsulation.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,-2.0,4676,1.3,1,0,0.75,0.0002,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.002,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.1997202769432704,7558.237744742603,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,725.8307675506791,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,101352.2452363407,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,111.11111111111111,0,0.36734693877551017,0.22,0.98,0,0.98,0,0.98,0.02,0.1,0.9,100,0.09,0,4.9,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/heatAdjustment/che_led_heatAdjustment.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,506.1,4676,1.3,1,0,0.75,0.0001,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.004,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.272921983833991,8019.408498154142,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,770.117800219565,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,94618.58289522679,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,66.66666666666667,1,0.5545286506469501,0.02,0.98,0,0.98,0,0.98,0.02,0.88,0.88,10,2.3,0,5.41,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/heatAdjustment/ark_hps_heatAdjustment.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,13.0,4676,1.3,1,0,0.75,0.0001,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.004,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.2018197902703498,7571.464678703203,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,727.1009731135622,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,101148.05048324875,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,111.11111111111111,1,0.36734693877551017,0.22,0.98,0,0.98,0,0.98,0.02,0.1,0.9,100,0.09,0,4.9,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/heatAdjustment/ark_led_heatAdjustment.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,13.0,4676,1.3,1,0,0.75,0.0001,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.004,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.2018197902703498,7571.464678703203,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,727.1009731135622,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,101148.05048324875,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,66.66666666666667,1,0.5545286506469501,0.02,0.98,0,0.98,0,0.98,0.02,0.88,0.88,10,2.3,0,5.41,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
/Users/gsoykan/Desktop/yanan-desktop/wur-phd-2024/GreenLight/Output/new_world_sim_csv/heatAdjustment/che_hps_heatAdjustment.json,5,2450000.0,5.67e-08,1,1,0.5,0.5,0.554,0.9,1.2,0.07,0.35,7850,1000,65.8,1.99e-07,1200,4.3,0.54,6.1e-07,1.1e-11,4.3e-06,5.2e-06,1000,640,4180,9.81,0.04,0.08,0.16,0.32,0.64,0.7,0.7,0.27,0.94,28.96,1.28,18,8314,5,275,82,-1,0.1,22,40000,48400,6.3,6.905,1.86,2.8,1.2,1,506.1,4676,1.3,1,0,0.75,0.0001,0.09,0,0.85,2600,0.13,0.13,0.15,0.85,0.85,0,1.05,840,0.004,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0.67,200,0.35,0.35,0.18,0.6,0.6,0.15,1800,0.00035,5e-05,0.67,200,0.35,0.35,0.01,0.01,0.7,1800,0.00035,5e-05,1,2300,0.5,0.65,1.7,880,0.02,1730000.0,0.85,0.88,0.051,0.047,1.25,12000000.0,205714.2857142857,10998.572739,1.272921983833991,8019.408498154142,40480,69200,138400,276800,553600,1107200.0,125.99999999999999,770.117800219565,125.99999999999999,6.3,0.6050000000000004,0.20027699999999998,0.90186325,94618.58289522679,2.3,210,1.7,0.67,37000,298.15,710,220000,0.7,0.385,0.03,0.044,4.6,3,2.66e-05,3e-06,112781.95488721805,300000,0.27,0.28,0.3,2850000.0,2,1.16e-07,3.47e-07,1.47e-07,0.328,0.095,0.074,20000,1000,24.5,15,34,10,1035,87,20,19.5,18.5,-1,1,2,5,10,-1,1000,-100,5,4,-1,50,-2,10,4,0,18,-1,400,400,10,2,100,0,1,2,-1,2,0,1.655,0.035,0.033800000000000004,0.18197718000000002,0,6746.38883255568,111.11111111111111,1,0.36734693877551017,0.22,0.98,0,0.98,0,0.98,0.02,0.1,0.9,100,0.09,0,4.9,0.5,0.5,10,0,0,0,0,0,0,0,1,1.4,1.4,0.54,1.88,0.5,0.25
